Timestamp,Signature ID,Event Description,Classification,Priority,Protocol,Source IP:Port,Destination IP:Port
03/19/2024-07:15:38.545973,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:15:46.737919,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:16:02.865942,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:37.349113,**,,SURICATA STREAM Packet with invalid timestamp,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:37.349350,**,,SURICATA STREAM Packet with invalid timestamp,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:47.246507,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:47.246586,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:48.273930,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:50.289964,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:54.481974,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:17:56.444765,**,,ET 3CORESec Poor Reputation IP group 7,Classification: Misc Attack,Priority: 2,,
03/19/2024-07:18:02.674034,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:17.775564,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/19/2024-07:18:18.801968,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:53.603129,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:53.603212,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:54.609919,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:54.830305,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:54.830360,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:18:56.850077,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:19:01.041970,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:19:07.853771,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:19:07.853813,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:19:15.889925,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:19:32.017930,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:15.419464,**,,ET POLICY Unsupported/Fake Windows NT Version 5.0,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/19/2024-07:20:48.371346,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:48.371407,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:49.393931,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:51.409921,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:55.473932,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:59.705459,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:20:59.705511,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:21:07.761910,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:21:23.889955,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:21:52.391656,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:22:41.322048,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:22:41.322136,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:22:42.353977,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:22:44.369987,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:22:48.625918,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:22:56.817917,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:23:12.945915,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:18.782899,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:18.782978,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:19.793944,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:21.809923,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:23.740280,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/19/2024-07:24:25.905976,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:34.097985,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:24:50.225961,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:25:10.098668,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:25:15.675711,**,,ET POLICY Unsupported/Fake Windows NT Version 5.0,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/19/2024-07:25:23.073750,**,,SURICATA STREAM ESTABLISHED SYN resend with different seq,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:25:34.769930,**,,SURICATA STREAM ESTABLISHED SYNACK resend,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:26:22.182662,**,,SURICATA HTTP unable to match response to request,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:26:22.229256,**,,SURICATA Applayer Mismatch protocol both directions,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:26:22.325157,**,,ET POLICY External Oracle T3 Requests Inbound,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/19/2024-07:26:22.330191,**,,SURICATA Applayer Detect protocol only one direction,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:26:22.330191,**,,ET POLICY External Oracle T3 Requests Inbound,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/19/2024-07:28:59.008480,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:28:59.008540,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:00.017970,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:02.033924,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:06.225955,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:11.732345,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:11.732379,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:19.793927,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:24.414673,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:35.922003,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:37.149939,**,,SURICATA STREAM ESTABLISHED SYN resend with different seq,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:37.150016,**,,SURICATA STREAM ESTABLISHED SYNACK resend with different ACK,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:38.161974,**,,SURICATA STREAM ESTABLISHED SYNACK resend with different ACK,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:40.177974,**,,SURICATA STREAM ESTABLISHED SYNACK resend with different ACK,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:44.369959,**,,SURICATA STREAM ESTABLISHED SYNACK resend with different ACK,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:29:52.561995,**,,SURICATA STREAM ESTABLISHED SYNACK resend with different ACK,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:30:08.690023,**,,SURICATA STREAM ESTABLISHED SYNACK resend with different ACK,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:30:15.424974,**,,ET POLICY Unsupported/Fake Windows NT Version 5.0,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/19/2024-07:30:30.772037,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/19/2024-07:31:09.923705,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:31:09.923790,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:31:10.929930,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:31:12.945934,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:31:17.041924,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:31:25.233965,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:31:41.362008,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:32:25.150786,**,,ET DROP Dshield Block Listed Source group 1,Classification: Misc Attack,Priority: 2,,
03/19/2024-07:32:28.546721,**,,ET SCAN Zmap User-Agent (Inbound),Classification: Detection of a Network Scan,Priority: 3,,
03/19/2024-07:34:03.176580,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:34:03.176667,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:34:04.177925,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:34:06.193938,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:34:10.353950,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:34:18.545979,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:34:34.673918,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:35:15.679560,**,,ET POLICY Unsupported/Fake Windows NT Version 5.0,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/19/2024-07:35:50.882763,**,,ET 3CORESec Poor Reputation IP group 5,Classification: Misc Attack,Priority: 2,,
03/19/2024-07:35:53.530210,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:35:53.530279,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:35:54.545960,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:35:56.561929,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:00.689937,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:03.028767,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:03.028818,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:10.917372,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:10.917437,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:11.185917,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:11.921922,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:12.302525,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:12.302595,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:14.321987,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:18.353916,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:24.482175,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:24.482245,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:27.313959,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:32.689974,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:36.430585,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/19/2024-07:36:48.817951,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:56.118983,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:56.119070,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:57.137937,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:36:59.153975,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:37:03.409980,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:37:08.849837,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:37:08.849899,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:37:16.977919,**,,SURICATA STREAM 3way handshake SYNACK resend with different ack,Classification: Generic Protocol Command Decode,Priority: 3,,
03/19/2024-07:37:24.947108,**,,SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,Classification: Generic Protocol Command Decode,Priority: 3,,
